"","SID","DOB","DOT","Age","Sex","Location","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","Exclude.Trial","Exclude.Trial.Reason","Agegroup","CP_subset","highest_count","Numerosity"
"11","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","3","5","5",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"12","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","4","6","6",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"13","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","5","6","6",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"14","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","6","6","6",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"15","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"16","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"17","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"18","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"19","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"20","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","12",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"21","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","13",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"22","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","14",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"23","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","15",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",19,NA
"24","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","1","4","5",0,NA,"",NA,"","(3.5,4]","CP",30,"Small"
"25","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","2","3","3",1,1,"counted",NA,"","(3.5,4]","CP",30,"Small"
"26","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","3","8","11",0,NA,"pointed at fish",NA,"","(3.5,4]","CP",30,"Large"
"27","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","4","6","6",1,NA,"",NA,"","(3.5,4]","CP",30,"Large"
"28","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","5","10","12",0,NA,"",NA,"","(3.5,4]","CP",30,"Large"
"29","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"Neutral-Final Question","IDK, 11",0,NA,"",NA,"","(3.5,4]","CP",30,NA
"30","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"IDK first?","1",0,NA,"",NA,"","(3.5,4]","CP",30,NA
"31","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"Memory_check_answer","10",1,NA,"",NA,"","(3.5,4]","CP",30,NA
"32","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","1","3","3",1,1,"",NA,"","(3.5,4]","CP",30,NA
"33","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","2","4","4",1,1,"",NA,"","(3.5,4]","CP",30,NA
"34","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","3","5","5",1,1,"",NA,"","(3.5,4]","CP",30,NA
"35","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","4","6","6",1,1,"",NA,"","(3.5,4]","CP",30,NA
"36","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","5","6","6",1,1,"",NA,"","(3.5,4]","CP",30,NA
"37","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","6",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"38","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"39","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"40","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"41","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"42","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"43","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","12",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"44","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","13",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"45","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","14",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"46","11120-N","3/26/16","1/11/20",3.794661191,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","15",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",30,NA
"47","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","1","3","3",1,NA,"",NA,"","(3.5,4]","CP",13,"Small"
"48","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","2","4","4",1,NA,"",NA,"","(3.5,4]","CP",13,"Small"
"49","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","3","10","10",1,NA,"",NA,"","(3.5,4]","CP",13,"Large"
"50","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","4","6","6",1,NA,"",NA,"","(3.5,4]","CP",13,"Large"
"51","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","5","8","8",1,NA,"",NA,"","(3.5,4]","CP",13,"Large"
"52","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Neutral-Final Question","IDK, 13",0,NA,"",NA,"","(3.5,4]","CP",13,NA
"53","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"IDK first?","1",0,NA,"",NA,"","(3.5,4]","CP",13,NA
"54","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Memory_check_answer","8",1,NA,"",NA,"","(3.5,4]","CP",13,NA
"55","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","1","3","3",1,NA,"",NA,"","(3.5,4]","CP",13,NA
"56","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","2","4","4",1,NA,"",NA,"","(3.5,4]","CP",13,NA
"57","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","3","5","5",1,1,"",NA,"","(3.5,4]","CP",13,NA
"58","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","4","6","6",1,1,"",NA,"","(3.5,4]","CP",13,NA
"59","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","5","6","6",1,1,"",NA,"","(3.5,4]","CP",13,NA
"60","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","6",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"61","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"62","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"63","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"64","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"65","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"66","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","12",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"67","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","13",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"68","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","14",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"69","11120-S","6/18/16","1/11/20",3.564681725,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","15",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",13,NA
"70","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","1","4","4",1,NA,"",NA,"","(4,4.5]","CP",18,"Small"
"71","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","2","3","3",1,NA,"",NA,"","(4,4.5]","CP",18,"Small"
"72","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","3","8","9",0,NA,"",NA,"","(4,4.5]","CP",18,"Large"
"73","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","4","6","5",0,NA,"",NA,"","(4,4.5]","CP",18,"Large"
"74","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching","5","10","10",1,NA,"",NA,"","(4,4.5]","CP",18,"Large"
"75","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"Neutral-Final Question","IDK",0,NA,"",NA,"","(4,4.5]","CP",18,NA
"76","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"IDK first?","1",0,NA,"",NA,"","(4,4.5]","CP",18,NA
"77","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Set-matching",NA,"Memory_check_answer","10",1,NA,"",NA,"","(4,4.5]","CP",18,NA
"78","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","1","3","3",1,NA,"",NA,"","(4,4.5]","CP",18,NA
"79","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","2","4","4",1,1,"",NA,"","(4,4.5]","CP",18,NA
"80","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","3","5","5",1,1,"",NA,"","(4,4.5]","CP",18,NA
"81","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","4","6","6",1,1,"",NA,"","(4,4.5]","CP",18,NA
"82","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","5","6","6",1,1,"",NA,"","(4,4.5]","CP",18,NA
"83","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","6",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"84","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"85","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"86","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"87","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"88","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"89","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","12",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"90","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","13",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"91","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","14",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"92","11120-H2","8/27/15","1/11/20",4.375085558,"F","Birch","RMS","RMS","English",0,"","CP","B","NEUTRAL","Give_N","15",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",18,NA
"93","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","1","3","3",1,NA,"",NA,"","(4,4.5]","CP",39,"Small"
"94","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","2","4","4",1,NA,"",NA,"","(4,4.5]","CP",39,"Small"
"95","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","3","10","9",0,NA,"",NA,"","(4,4.5]","CP",39,"Large"
"96","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","4","6","5",0,NA,"",NA,"","(4,4.5]","CP",39,"Large"
"97","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","5","8","8",1,NA,"",NA,"","(4,4.5]","CP",39,"Large"
"98","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Neutral-Final Question","18",0,NA,"",NA,"","(4,4.5]","CP",39,NA
"99","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"IDK first?","0",0,NA,"",NA,"","(4,4.5]","CP",39,NA
"100","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Memory_check_answer","8",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"101","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","1","3","3",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"102","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","2","4","4",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"103","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","3","5","5",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"104","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","4","6","6",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"105","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","5","6","6",1,NA,"",NA,"","(4,4.5]","CP",39,NA
"106","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","6",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"107","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"108","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"109","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"110","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"111","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"112","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","12",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"113","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","13",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"114","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","14",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"115","011120-H",NA,"1/11/20",4.5,"F","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","15",NA,"",NA,NA,"",NA,"","(4,4.5]","CP",39,NA
"116","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","1","3","3",1,NA,"",NA,"","(3.5,4]","CP",16,"Small"
"117","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","2","4","4",1,NA,"",NA,"","(3.5,4]","CP",16,"Small"
"118","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","3","10","10",1,NA,"",NA,"","(3.5,4]","CP",16,"Large"
"119","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","4","6","6",1,NA,"",NA,"","(3.5,4]","CP",16,"Large"
"120","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","5","8","7",0,NA,"",NA,"","(3.5,4]","CP",16,"Large"
"121","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Neutral-Final Question","IDK, 6",0,NA,"",NA,"","(3.5,4]","CP",16,NA
"122","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"IDK first?","1",0,NA,"",NA,"","(3.5,4]","CP",16,NA
"123","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Memory_check_answer","8",1,NA,"",NA,"","(3.5,4]","CP",16,NA
"124","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","1","3","3",1,1,"",NA,"","(3.5,4]","CP",16,NA
"125","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","2","4","4",1,1,"",NA,"","(3.5,4]","CP",16,NA
"126","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","3","5","5",1,1,"",NA,"","(3.5,4]","CP",16,NA
"127","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","4","6","4",0,NA,"",NA,"","(3.5,4]","CP",16,NA
"128","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","5","6","6",1,1,"",NA,"","(3.5,4]","CP",16,NA
"129","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","6","6","6",1,1,"",NA,"","(3.5,4]","CP",16,NA
"130","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","7",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",16,NA
"131","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","8",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",16,NA
"132","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","9",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",16,NA
"133","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","10",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",16,NA
"134","11620-DD","2/3/16","1/16/20",3.950718686,"M","Adventure Days","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","11",NA,"",NA,NA,"",NA,"","(3.5,4]","CP",16,NA
